name_en,ancient_name,modern_location,country,latitude,longitude,category,notes
Nineveh,Ninua,Kuyunjik / Mosul,Iraq,36.360,43.152,Assyrian capital,Capital under Sennacherib; extensive irrigation works
Nimrud,Kalhu,Selamiyah / Mosul,Iraq,36.098,43.328,Assyrian capital,Capital under Ashurnasirpal II; NW palace
Khorsabad,Dur-Sharrukin,Khorsabad,Iraq,36.509,43.229,Assyrian capital,Founded by Sargon II
Assur,Assur,Qalat Sherqat,Iraq,35.457,43.259,Assyrian religious capital,Cult centre of the god Ashur
Erbil,Arbela,Erbil,Iraq,36.191,44.009,Assyrian provincial centre,Ishtar of Arbela; continuously inhabited
Ziyaret Tepe,Tushhan,Ziyaret Tepe,Turkey,37.774,40.996,Assyrian provincial capital,Provincial capital on the upper Tigris
Harran,Harranu,Harran,Turkey,36.864,39.031,Cult / city,Sin (moon-god) temple; last Assyrian stronghold
Carchemish,Karkamis,Jerablus,Syria/Turkey border,36.829,38.015,Neo-Hittite / Luwian,Key crossing of the Euphrates
Zincirli,Samal,Zincirli Hoyuk,Turkey,37.104,36.680,Aramean / Luwian capital,Capital of the kingdom of Samal
Tell Ahmar,Til Barsip / Kar-Shalmaneser,Tell Ahmar,Syria,36.674,38.121,Aramean / Assyrian,Bit Adini; renamed after Assyrian conquest
Tell Halaf,Guzana,Tell Halaf,Syria,36.828,40.043,Aramean (Bit Bahiani),Excavated by Max von Oppenheim
Tell Rifaat,Arpad,Tell Rifaat,Syria,36.470,37.100,Aramean (Bit Agusi),Besieged by Tiglath-pileser III
Hama,Hamath,Hama,Syria,35.133,36.753,Aramean / Luwian kingdom,Kingdom on the Orontes
Damascus,Dimashqu,Damascus,Syria,33.513,36.292,Aramean kingdom,Aram-Damascus; conquered 732 BCE
Samaria,Samerina,Sebastia,West Bank,32.280,35.190,Israelite capital / Assyrian province,Fell to Assyria 722/720 BCE
Lachish,Lakisu,Tell ed-Duweir,Israel,31.565,34.849,Judahite city,Depicted in Sennacherib's Lachish reliefs
Babylon,Babili,Hillah,Iraq,32.542,44.421,Babylonian capital,Southern rival and later conqueror of Assyria
